id,type,group,name
271,1,health,batteryPass
272,2,health,motorTestCount
273,1,kalman,inFlight
274,7,kalman,stateX
275,7,kalman,stateY
276,7,kalman,stateZ
277,7,kalman,statePX
278,7,kalman,statePY
279,7,kalman,statePZ
280,7,kalman,stateD0
281,7,kalman,stateD1
282,7,kalman,stateD2
283,7,kalman,varX
284,7,kalman,varY
285,7,kalman,varZ
286,7,kalman,varPX
287,7,kalman,varPY
288,7,kalman,varPZ
289,7,kalman,varD0
290,7,kalman,varD1
291,7,kalman,varD2
292,7,kalman,q0
293,7,kalman,q1
294,7,kalman,q2
295,7,kalman,q3
296,7,kalman,rtUpdate
297,7,kalman,rtPred
298,7,kalman,rtBaro
299,7,kalman,rtFinal
300,7,kalman,rtApnd
301,7,kalman,rtRej
302,7,kalman_states,ox
303,7,kalman_states,oy
304,7,kalman_states,vx
305,7,kalman_states,vy
306,6,outlierf,lhWin
307,7,kalman_pred,predNX
308,7,kalman_pred,predNY
309,7,kalman_pred,measNX
310,7,kalman_pred,measNY
311,7,ring,fadeTime
312,6,gps,lat
313,6,gps,lon
314,7,gps,hMSL
315,7,gps,hAcc
316,6,gps,nsat
317,6,gps,fix
318,7,usd,spiWrBps
319,7,usd,spiReBps
320,7,usd,fatWrBps
321,1,loco,mode
322,7,loco,spiWr
323,7,loco,spiRe
324,2,ranging,state
325,7,ranging,distance0
326,7,ranging,distance1
327,7,ranging,distance2
328,7,ranging,distance3
329,7,ranging,distance4
330,7,ranging,distance5
331,7,ranging,distance6
332,7,ranging,distance7
333,7,ranging,pressure0
334,7,ranging,pressure1
335,7,ranging,pressure2
336,7,ranging,pressure3
337,7,ranging,pressure4
338,7,ranging,pressure5
339,7,ranging,pressure6
340,7,ranging,pressure7
341,1,twr,rangingSuccessRate0
342,1,twr,rangingPerSec0
343,1,twr,rangingSuccessRate1
344,1,twr,rangingPerSec1
345,1,twr,rangingSuccessRate2
346,1,twr,rangingPerSec2
347,1,twr,rangingSuccessRate3
348,1,twr,rangingPerSec3
349,1,twr,rangingSuccessRate4
350,1,twr,rangingPerSec4
351,1,twr,rangingSuccessRate5
352,1,twr,rangingPerSec5
353,7,tdoa2,d7-0
354,7,tdoa2,d0-1
355,7,tdoa2,d1-2
356,7,tdoa2,d2-3
357,7,tdoa2,d3-4
358,7,tdoa2,d4-5
359,7,tdoa2,d5-6
360,7,tdoa2,d6-7
361,7,tdoa2,cc0
362,7,tdoa2,cc1
363,7,tdoa2,cc2
364,7,tdoa2,cc3
365,7,tdoa2,cc4
366,7,tdoa2,cc5
367,7,tdoa2,cc6
368,7,tdoa2,cc7
369,2,tdoa2,dist7-0
370,2,tdoa2,dist0-1
371,2,tdoa2,dist1-2
372,2,tdoa2,dist2-3
373,2,tdoa2,dist3-4
374,2,tdoa2,dist4-5
375,2,tdoa2,dist5-6
376,2,tdoa2,dist6-7
377,7,tdoaEngine,stRx
378,7,tdoaEngine,stEst
379,7,tdoaEngine,stTime
380,7,tdoaEngine,stFound
381,7,tdoaEngine,stCc
382,7,tdoaEngine,stHit
383,7,tdoaEngine,stMiss
384,7,tdoaEngine,cc
385,2,tdoaEngine,tof
386,7,tdoaEngine,tdoa
387,6,outlierf,bucket0
388,6,outlierf,bucket1
389,6,outlierf,bucket2
390,6,outlierf,bucket3
391,6,outlierf,bucket4
392,7,outlierf,accLev
393,7,outlierf,errD
394,1,motion,motion
395,5,motion,deltaX
396,5,motion,deltaY
397,2,motion,shutter
398,1,motion,maxRaw
399,1,motion,minRaw
400,1,motion,Rawsum
401,1,motion,outlierCount
402,1,motion,squal
403,7,motion,std
404,2,oa,front
405,2,oa,back
406,2,oa,up
407,2,oa,left
408,2,oa,right
409,1,activeMarker,btSns
410,1,activeMarker,i2cOk
411,1,aideck,receivebyte
412,1,lighthouse,validAngles
413,7,lighthouse,rawAngle0x
414,7,lighthouse,rawAngle0y
415,7,lighthouse,rawAngle1x
416,7,lighthouse,rawAngle1y
417,7,lighthouse,angle0x
418,7,lighthouse,angle0y
419,7,lighthouse,angle1x
420,7,lighthouse,angle1y
421,7,lighthouse,angle0x_1
422,7,lighthouse,angle0y_1
423,7,lighthouse,angle1x_1
424,7,lighthouse,angle1y_1
425,7,lighthouse,angle0x_2
426,7,lighthouse,angle0y_2
427,7,lighthouse,angle1x_2
428,7,lighthouse,angle1y_2
429,7,lighthouse,angle0x_3
430,7,lighthouse,angle0y_3
431,7,lighthouse,angle1x_3
432,7,lighthouse,angle1y_3
433,7,lighthouse,rawAngle0xlh2
434,7,lighthouse,rawAngle0ylh2
435,7,lighthouse,rawAngle1xlh2
436,7,lighthouse,rawAngle1ylh2
437,7,lighthouse,angle0x_0lh2
438,7,lighthouse,angle0y_0lh2
439,7,lighthouse,angle1x_0lh2
440,7,lighthouse,angle1y_0lh2
441,7,lighthouse,serRt
442,7,lighthouse,frmRt
443,7,lighthouse,cycleRt
444,7,lighthouse,bs0Rt
445,7,lighthouse,bs1Rt
446,2,lighthouse,width0
447,2,lighthouse,width1
448,2,lighthouse,width2
449,2,lighthouse,width3
450,1,lighthouse,comSync
451,2,lighthouse,bsReceive
452,2,lighthouse,bsActive
453,2,lighthouse,bsCalUd
454,2,lighthouse,bsCalCon
455,1,lighthouse,status
456,7,lighthouse,posRt
457,7,lighthouse,estBs0Rt
458,7,lighthouse,estBs1Rt
459,7,lighthouse,x
460,7,lighthouse,y
461,7,lighthouse,z
462,7,lighthouse,delta
463,2,lighthouse,bsGeoVal
464,2,lighthouse,bsCalVal
