id,type,group,name
132,7,stateEstimate,roll
133,2,motion,shutter
134,7,stateEstimate,yaw
135,7,stateEstimate,qx
136,7,stateEstimate,qy
137,7,stateEstimate,qz
138,7,stateEstimate,qw
139,5,stateEstimateZ,x
140,2,oa,up
141,5,stateEstimateZ,z
142,5,stateEstimateZ,vx
143,5,stateEstimateZ,vy
144,1,activeMarker,i2cOk
145,5,stateEstimateZ,ax
146,5,stateEstimateZ,ay
147,7,lighthouse,rawAngle0y
148,7,lighthouse,rawAngle1x
149,7,lighthouse,rawAngle1y
150,5,stateEstimateZ,ratePitch
151,7,lighthouse,angle0y
152,7,lighthouse,angle1x
153,7,lighthouse,angle1y
154,7,lighthouse,angle0x_1
155,7,lighthouse,angle0y_1
156,7,posCtl,targetVY
157,7,posCtl,targetVZ
158,7,posCtl,targetX
159,7,posCtl,targetY
160,7,posCtl,targetZ
161,7,lighthouse,angle1y_2
162,7,posCtl,Xi
163,7,posCtl,Xd
164,7,posCtl,Yp
165,7,lighthouse,angle1y_3
166,7,posCtl,Yd
167,7,lighthouse,rawAngle0ylh2
168,7,posCtl,Zi
169,7,posCtl,Zd
170,7,lighthouse,serRt
171,7,posCtl,VXi
172,7,posCtl,VXd
173,7,lighthouse,bs0Rt
174,7,lighthouse,bs1Rt
175,2,lighthouse,width0
176,7,posCtrlIndi,gyr_p
177,2,lighthouse,width2
178,7,posCtrlIndi,gyr_r
179,7,posCtrlIndi,posRef_x
180,7,lighthouse,posRt
181,7,posCtrlIndi,posRef_z
182,7,lighthouse,estBs1Rt
183,7,lighthouse,x
184,7,lighthouse,y
185,7,posCtrlIndi,velRef_x
186,7,lighthouse,delta
187,7,posCtrlIndi,velRef_z
188,7,posCtrlIndi,angS_roll
189,7,posCtrlIndi,angS_pitch
190,7,posCtrlIndi,angS_yaw
191,7,posCtrlIndi,angF_roll
192,7,posCtrlIndi,angF_pitch
193,7,posCtrlIndi,angF_yaw
194,7,posCtrlIndi,accRef_x
195,7,posCtrlIndi,accRef_y
196,7,posCtrlIndi,accRef_z
197,7,posCtrlIndi,accS_x
198,7,posCtrlIndi,accS_y
199,7,posCtrlIndi,accS_z
200,7,posCtrlIndi,accF_x
201,7,posCtrlIndi,accF_y
202,7,posCtrlIndi,accF_z
203,7,posCtrlIndi,accFT_x
204,7,posCtrlIndi,accFT_y
205,7,posCtrlIndi,accFT_z
206,7,posCtrlIndi,accErr_x
207,7,posCtrlIndi,accErr_y
208,7,posCtrlIndi,accErr_z
209,7,posCtrlIndi,phi_tilde
210,7,posCtrlIndi,theta_tilde
211,7,posCtrlIndi,T_tilde
212,7,posCtrlIndi,T_inner
213,7,posCtrlIndi,T_inner_f
214,7,posCtrlIndi,T_incremented
215,7,posCtrlIndi,cmd_phi
216,7,posCtrlIndi,cmd_theta
217,7,controller,cmd_thrust
218,7,controller,cmd_roll
219,7,controller,cmd_pitch
220,7,controller,cmd_yaw
221,7,controller,r_roll
222,7,controller,r_pitch
223,7,controller,r_yaw
224,7,controller,accelz
225,7,controller,actuatorThrust
226,7,controller,roll
227,7,controller,pitch
228,7,controller,yaw
229,7,controller,rollRate
230,7,controller,pitchRate
231,7,controller,yawRate
232,7,ctrlMel,cmd_thrust
233,7,ctrlMel,cmd_roll
234,7,ctrlMel,cmd_pitch
235,7,ctrlMel,cmd_yaw
236,7,ctrlMel,r_roll
237,7,ctrlMel,r_pitch
238,7,ctrlMel,r_yaw
239,7,ctrlMel,accelz
240,7,ctrlMel,zdx
241,7,ctrlMel,zdy
242,7,ctrlMel,zdz
243,7,ctrlMel,i_err_x
244,7,ctrlMel,i_err_y
245,7,ctrlMel,i_err_z
246,7,ctrlINDI,cmd_thrust
247,7,ctrlINDI,cmd_roll
248,7,ctrlINDI,cmd_pitch
249,7,ctrlINDI,cmd_yaw
250,7,ctrlINDI,r_roll
251,7,ctrlINDI,r_pitch
252,7,ctrlINDI,r_yaw
253,7,ctrlINDI,accelz
254,7,ctrlINDI,u_act_dyn.p
255,7,ctrlINDI,u_act_dyn.q
256,7,ctrlINDI,u_act_dyn.r
257,7,ctrlINDI,du.p
258,7,ctrlINDI,du.q
259,7,ctrlINDI,du.r
260,7,ctrlINDI,ang_accel_ref.p
261,7,ctrlINDI,ang_accel_ref.q
262,7,ctrlINDI,ang_accel_ref.r
263,7,ctrlINDI,rate_d[0]
264,7,ctrlINDI,rate_d[1]
265,7,ctrlINDI,rate_d[2]
266,3,motor,m1
267,3,motor,m2
268,3,motor,m3
269,3,motor,m4
270,1,kalman,inFlight
271,7,kalman,stateX
272,7,kalman,stateY
273,7,kalman,stateZ
274,7,kalman,statePX
275,7,kalman,statePY
276,7,kalman,statePZ
277,7,kalman,stateD0
278,7,kalman,stateD1
279,7,kalman,stateD2
280,7,kalman,varX
281,7,kalman,varY
282,7,kalman,varZ
283,7,kalman,varPX
284,7,kalman,varPY
285,7,kalman,varPZ
286,7,kalman,varD0
287,7,kalman,varD1
288,7,kalman,varD2
289,7,kalman,q0
290,7,kalman,q1
291,7,kalman,q2
292,7,kalman,q3
293,7,kalman,rtUpdate
294,7,kalman,rtPred
295,7,kalman,rtBaro
296,7,kalman,rtFinal
297,7,kalman,rtApnd
298,7,kalman,rtRej
299,7,kalman_states,ox
300,7,kalman_states,oy
301,7,kalman_states,vx
302,7,kalman_states,vy
303,7,kalman_pred,predNX
304,7,kalman_pred,predNY
305,7,kalman_pred,measNX
306,7,kalman_pred,measNY
307,6,outlierf,lhWin
308,7,ring,fadeTime
309,6,gps,lat
310,6,gps,lon
311,7,gps,hMSL
312,7,gps,hAcc
313,6,gps,nsat
314,6,gps,fix
315,1,loco,mode
316,2,ranging,state
317,7,ranging,distance0
318,7,ranging,distance1
319,7,ranging,distance2
320,7,ranging,distance3
321,7,ranging,distance4
322,7,ranging,distance5
323,7,ranging,distance6
324,7,ranging,distance7
325,7,ranging,pressure0
326,7,ranging,pressure1
327,7,ranging,pressure2
328,7,ranging,pressure3
329,7,ranging,pressure4
330,7,ranging,pressure5
331,7,ranging,pressure6
332,7,ranging,pressure7
333,1,twr,rangingSuccessRate0
334,1,twr,rangingPerSec0
335,1,twr,rangingSuccessRate1
336,1,twr,rangingPerSec1
337,1,twr,rangingSuccessRate2
338,1,twr,rangingPerSec2
339,1,twr,rangingSuccessRate3
340,1,twr,rangingPerSec3
341,1,twr,rangingSuccessRate4
342,1,twr,rangingPerSec4
343,1,twr,rangingSuccessRate5
344,1,twr,rangingPerSec5
345,7,tdoa2,d7-0
346,7,tdoa2,d0-1
347,7,tdoa2,d1-2
348,7,tdoa2,d2-3
349,7,tdoa2,d3-4
350,7,tdoa2,d4-5
351,7,tdoa2,d5-6
352,7,tdoa2,d6-7
353,7,tdoa2,cc0
354,7,tdoa2,cc1
355,7,tdoa2,cc2
356,7,tdoa2,cc3
357,7,tdoa2,cc4
358,7,tdoa2,cc5
359,7,tdoa2,cc6
360,7,tdoa2,cc7
361,2,tdoa2,dist7-0
362,2,tdoa2,dist0-1
363,2,tdoa2,dist1-2
364,2,tdoa2,dist2-3
365,2,tdoa2,dist3-4
366,2,tdoa2,dist4-5
367,2,tdoa2,dist5-6
368,2,tdoa2,dist6-7
369,7,tdoaEngine,stRx
370,7,tdoaEngine,stEst
371,7,tdoaEngine,stTime
372,7,tdoaEngine,stFound
373,7,tdoaEngine,stCc
374,7,tdoaEngine,stHit
375,7,tdoaEngine,stMiss
376,7,tdoaEngine,cc
377,2,tdoaEngine,tof
378,7,tdoaEngine,tdoa
379,6,outlierf,bucket0
380,6,outlierf,bucket1
381,6,outlierf,bucket2
382,6,outlierf,bucket3
383,6,outlierf,bucket4
384,7,outlierf,accLev
385,7,outlierf,errD
386,1,motion,motion
387,5,motion,deltaX
388,5,motion,deltaY
389,2,motion,shutter
390,1,motion,maxRaw
391,1,motion,minRaw
392,1,motion,Rawsum
393,1,motion,outlierCount
394,2,oa,front
395,2,oa,back
396,2,oa,up
397,2,oa,left
398,2,oa,right
399,1,activeMarker,btSns
400,1,activeMarker,i2cOk
401,1,aideck,receivebyte
402,7,lighthouse,rawAngle0x
403,7,lighthouse,rawAngle0y
404,7,lighthouse,rawAngle1x
405,7,lighthouse,rawAngle1y
406,7,lighthouse,angle0x
407,7,lighthouse,angle0y
408,7,lighthouse,angle1x
409,7,lighthouse,angle1y
410,7,lighthouse,angle0x_1
411,7,lighthouse,angle0y_1
412,7,lighthouse,angle1x_1
413,7,lighthouse,angle1y_1
414,7,lighthouse,angle0x_2
415,7,lighthouse,angle0y_2
416,7,lighthouse,angle1x_2
417,7,lighthouse,angle1y_2
418,7,lighthouse,angle0x_3
419,7,lighthouse,angle0y_3
420,7,lighthouse,angle1x_3
421,7,lighthouse,angle1y_3
422,7,lighthouse,rawAngle0xlh2
423,7,lighthouse,rawAngle0ylh2
424,7,lighthouse,rawAngle1xlh2
425,7,lighthouse,rawAngle1ylh2
426,7,lighthouse,serRt
427,7,lighthouse,frmRt
428,7,lighthouse,cycleRt
429,7,lighthouse,bs0Rt
430,7,lighthouse,bs1Rt
431,2,lighthouse,width0
432,2,lighthouse,width1
433,2,lighthouse,width2
434,2,lighthouse,width3
435,1,lighthouse,comSync
436,7,lighthouse,posRt
437,7,lighthouse,estBs0Rt
438,7,lighthouse,estBs1Rt
439,7,lighthouse,x
440,7,lighthouse,y
441,7,lighthouse,z
442,7,lighthouse,delta
